corp_code,한글 종목약명,단축코드
5681880.0,마이크로컨텍솔,098120
1281110.0,포스코엠텍,009520
3804290.0,CMG제약,058820
1756230.0,ES큐브,050120
1555860.0,HLB이노베이션,024850
1575390.0,KB오토시스,024120
1112180.0,KD,044180
4458410.0,MDS테크,086960
9386880.0,SBI핀테크솔루션즈,950110
5062940.0,가비아,079940
4413040.0,가온그룹,078890
13647470.0,가온칩스,399720
2610090.0,감성코퍼레이션,036620
10325830.0,강동씨앤엘,198440
10256440.0,강스템바이오텍,217730
1006010.0,강원에너지,114190
5874570.0,갤럭시아머니트리,094480
2060390.0,경남스틸,039240
3070280.0,경남제약,053950
1015490.0,경동제약,011040
1023530.0,경창산업,024910
3362970.0,고려신용정보,049720
1030150.0,고려제약,014570
13990710.0,고바이오랩,348150
14162350.0,고스트스튜디오,950190
5799990.0,고영,098460
2495020.0,골드앤에스,035290
10675160.0,골프존,215000
6744980.0,골프존뉴딘홀딩스,121440
13073350.0,공구우먼,366030
1036350.0,광림,014200
1864520.0,광무,029480
1041200.0,광진실업,026910
16207130.0,교보12호스팩,421800
16776780.0,교보13호스팩,440790
17606400.0,교보14호스팩,456490
17818470.0,교보15호스팩,465320
18457010.0,교보16호스팩,482520
2020600.0,구영테크,053270
2539850.0,국보디자인,066620
2567150.0,국순당,043650
1045370.0,국영지앤엠,006050
2038470.0,국일신동,060480
1045730.0,국일제지,078130
13299570.0,국전약품,307750
2445610.0,그래디언트,035080
11709620.0,GRT,900290
12992030.0,그리드위즈,453450
6719780.0,그리티,204020
13708630.0,그린리소스,402490
5320590.0,그린생명과학,114450
6022790.0,그린플러스,186230
5408630.0,GST,083450
7832460.0,글로벌에스엠,900070
10427110.0,글로벌텍스프리,204620
1597310.0,글로본,019660
1054750.0,금강철강,053260
8726560.0,금양그린파워,282720
1765160.0,금화피에스시,036190
3770180.0,기가레인,049080
7655690.0,기가비스,420770
2584210.0,기산텔레콤,035460
11818070.0,까스텔바작,308100
15864550.0,꿈비,407400
9949940.0,나노,187790
11360010.0,나노브릭,286750
4399650.0,나노신소재,121600
6604590.0,나노씨엠에스,247660
2304250.0,나노엔텍,039860
5420740.0,나노캠텍,091970
15241180.0,나노팀,417010
10216390.0,나라셀라,405920
2970950.0,나라엠앤디,051490
3621220.0,나래나노텍,137080
8193740.0,나무가,190510
11363480.0,나무기술,242040
4860970.0,나스미디어,089600
6510170.0,나우IB,293580
7676280.0,나이벡,138610
6062930.0,나이스디앤비,130580
2649450.0,나이스정보통신,036800
12088490.0,나인테크,267320
2456940.0,남화산업,111710
1080010.0,남화토건,091590
9237920.0,내츄럴엔도텍,168330
5991060.0,네오리진,094860
11708650.0,네오셈,253590
8768650.0,네오오토,212560
6288600.0,네오위즈,095660
2669520.0,네오위즈홀딩스,042420
15115580.0,네오이뮨텍,950220
12191550.0,네오크레마,311390
4479280.0,네오티스,085910
5519200.0,네오팜,092730
12460340.0,네오펙트,290660
13254290.0,네온테크,306620
8425850.0,네이블,153460
1172760.0,네이처셀,007390
2273330.0,네패스,033640
13683540.0,네패스아크,330860
4164140.0,넥스턴바이오,089140
13850500.0,넥스트바이오메디컬,389650
6145930.0,넥스트아이,137940
9749270.0,NEW,160550
15158640.0,넥스트칩,396270
10802520.0,넥스틴,348210
10963410.0,넥슨게임즈,225570
10678080.0,넵튠,217270
6328450.0,노랑풍선,104620
8113720.0,노바렉스,194700
12592320.0,노바텍,285490
3059410.0,노브랜드,145170
5363290.0,노블엠앤비,106520
14941180.0,노을,376930
5139480.0,녹십자엠에스,142280
11350570.0,녹십자웰빙,234690
8674780.0,아시아종묘,154030
12991060.0,우듬지팜,403490
1768350.0,농우바이오,054050
4109970.0,누리플랜,069140
2698890.0,누리플렉스,040160
13946690.0,누보,332290
13364610.0,뉴로메카,348340
3513750.0,뉴보텍,060260
8094290.0,뉴온,123840
1050400.0,뉴인텍,012340
8203890.0,뉴지랩파마,214870
12142480.0,뉴트리,270870
5213900.0,뉴파워프라즈마,144960
4935100.0,뉴프렉스,085670
3899700.0,다날,064260
14166420.0,다보링크,340360
2682510.0,다산네트웍스,039560
6245180.0,다산솔루에타,154040
2387820.0,다우데이타,032190
13443630.0,다원넥스뷰,323350
5233070.0,다원시스,068240
1912870.0,대동금속,020400
1093100.0,대동기어,008830
1092680.0,대동스틸,048470
1095870.0,대륙제관,004780
1097810.0,대림제지,017650
